商铺名称,营业时间,地址,月销售量,人均,活动信息
甩一碗早点(花甲粉小肉串）,07:00-23:59,保山市昌宁县田园镇宝丰社区居民委员会右甸南路84号（十二队加油站旁）,400,['21'],"['满50减5', '折扣商品9折起']"
湘湘排挡,12:00-23:59,保山市昌宁县田园镇文昌社区居民委员会滨河阳光怡景小区（静玉花缘旁）,15,[],"['满20减3;满50减10', '折扣商品8折起']"
腾越乡傣味小吃,08:00-23:00,清真街12号,100,['23'],[]
啊福宝烧烤,20:00-23:59,保山市昌宁县田园镇宝丰社区居民委员会南小区农贸市场,400,['23'],[]
福满楼,10:00-21:00,田园镇环城北路与DF路交叉口西北侧,13,[],['折扣商品9折起']
幸福七点小吃店,12:00-23:59,田园镇文昌社区居民委员会雄达明丰苑6栋3号一楼,27,[],"['满20减6;满35减11', '折扣商品9折起']"
天麻竹荪鸡酸汤猪脚,10:00-20:30,昌宁县田园镇达丙街西侧、环城北路南侧（茶艺坊17-7号）,22,[],['满20减5;满60减10']
姗姗烧烤,19:30-23:59,保山市昌宁县田园镇宝丰社区居民委员会南小区,200,['25'],['满30减8;满50减10']
啊实地烧烤,20:00-23:59,云南省保山市昌宁县田园镇南小区农贸市场内,100,[],[]
温泉老姨妈泡鸡脚,07:00-23:59,清真街11号,32,[],[]
天津狗不理,07:00-19:30,达丙街十字路口,400,[],"['满10减1;满20减2;满30减3;满40减4', '领3元券']"
保山腌鸡米线,18:00-23:59,保山市昌宁县田园镇兴宁街91号,54,[],['满20减6;满40减12']
小城大吃,08:00-17:30,田园镇文昌路北侧,400,[],['满20减2;满30减3']
香辣虾烤鱼（昌宁店）,08:00-23:59,田园镇右文社区二甲村民小组,100,[],"['满30减6;满60减12', '折扣商品8折起']"
同福烧烤（小肉串）,07:50-23:59,田园镇宝丰路,64,[],['满50减5;满100减10']
柠檬初上,10:00-20:00,云南省保山市昌宁县田园镇山水田苑22-9,26,[],[]
阿六浆米线,07:30-23:59,保山市昌宁县田园镇达丙社区居民委员会达丙街西侧,100,[],[]
玩味烧鸡,17:00-23:59,保山市昌宁县田园镇文昌社区居民委员会隆祥花园5栋07号,100,[],['折扣商品9.4折起']
云勇烧烤店,19:00-23:59,保山市昌宁县田园镇文昌社区居民委员会文昌街（农业局家属区）,83,[],[]
上海生煎包,07:00-21:30,田园镇达丙社区居民委员会达丙街西侧,400,[],['满20减6;满40减12']
腾冲傣味撒撇（新园路店）,10:00-19:30,田园镇关庙社区居民委员会新园路康馨园,200,[],[]
万达小串串,07:30-23:59,田园镇达丙街西侧，环城北路南侧（茶艺坊5-11号）,400,[],['满20减3;满40减5;满80减10']
超爽冷饮店,11:00-22:00,田园镇文昌街上段,10,['9'],[]
农家小院,09:00-21:00,达丙社区皂角树居民小区,0,[],[]
李记干锅旱鸭,09:00-23:00,云南省保山市昌宁县田园镇滨河路西侧、文昌路南侧（滨河盛景第1幢）,1,[],['满20减10;满40减20']
美蛙鱼头,10:00-23:59,山水田园15号,12,[],['折扣商品8.8折起']
牛屎沟夺命小串串,13:00-23:59,田园镇龙泉社区聚龙新村46号,800,['30'],['满30减3;满50减5']
红利浆米线铺,09:00-23:59,文昌街7号附近,500,['19'],[]
保山浆米线,07:00-14:00,武华路42号附近,700,['13'],[]
88号保山火烧肉豆粉,11:00-19:30,保山市昌宁县田园镇关庙社区居民委员会滨河西路（烟草小区门口）,37,[],[]
花町,08:00-23:59,保山市昌宁县田园镇龙井社区居民委员会十字路安置区（妇幼保健院旁）,800,['13'],"['满20减6;满30减9', '折扣商品3折起']"
辣些年8090烧烤店,20:00-23:59,田园镇文昌社区居民委员会福惠路西侧（隆祥花园）,300,[],['满40减15']
阿凡烧烤,19:00-23:59,田园镇宝丰社区居民委员会宝丰路（糖缘酒店对面）,40,[],"['满20减10;满40减20', '折扣商品9折起']"
好有味蒙自带皮小黄牛米线,07:00-14:00,云南省保山市昌宁县田园镇兴宁街,200,[],['满20减1;满40减2;满60减3;满80减4;满100减5']
芒市甘英泡鸡脚（昌宁店）,11:00-21:00,保山市昌宁县田园镇关庙社区居民委员会武华小区188号,100,[],[]
乐享绝味,08:00-23:56,兴宁街富德广场,100,['27'],[]
老忠活螃蟹,20:00-23:59,田园镇南小区农贸市场,200,[],[]
芒市风味春福傣味烧烤店,19:00-23:59,田园镇文昌街上段,100,[],['满20减2;满40减5;满60减7']
老五傣香烧烤,19:30-23:59,右甸东路72附近,100,[],[]
满香园小笼包,07:00-18:00,田园镇文昌社区居民委员会福惠路以西、环城北路以南、文昌路以北（隆祥花园16幢15号）,43,[],['满20减2;满40减4']
食膳轩,07:00-23:59,云南省保山市昌宁县田园镇文昌社区周家坡居民小组,71,[],[]
吴老酒烧烤,10:00-23:59,文昌街西段,600,['19'],['满50减5;满100减10']
一元王,19:30-23:59,田园镇宝丰路西侧,200,[],['满20减4;满30减7;满50减10']
